刘力扬	738954
网络歌手	737812
叶慧婷	729058
王浩信	722778
小沈阳	722286
Adele	722262
周迅	719802
动力火车	711352
苏永康	694701
王菀之	693039
杨钰莹	687316
关喆	675413
温碧霞	667355
于文华	663979
许雅涵	663055
江美琪	658829
西单女孩	648345
付梦妮	645251
周丽淇	636047
朱紫娆	635393
林传武	633463
黄雅莉	630145
黄靖伦	628791
钟一宪	622448
杨洋	620078
乌兰托娅	618067
唐笑	609535
傅颖	601141
李玲玉	600760
那英	600569
杨茜茜	584182
温岚	582412
丁丁（中国好声音）	581900
谢宏	577534
张信哲	576954
LadyAntebellum	567044
小柯	565245
恭硕良	559158
DJ	557014
至上励合	556681
Kent王健	555317
杨培安	555143
CherylCole	550557
Rihanna	545995
张宇	545486
刘媛媛	542072
韩庚	541638
DL组合	534911
谢文婷	534447
UpGirls	533578
舞曲	532895
张致恒	524346
可岚	520453
于浩宸	512777
乔洋	508115
代悦	507673
林依轮	507244
姚政	505984
KellyClarkson	503625
LinkinPark	493148
羽泉	490262
薛之谦	490217
侯志斌	489519
陆翊	489433
吴虹飞	488889
李承铉	485403
侯开亮	484786
蔡健雅	483021
曾沛慈	482552
陈司翰	478657
腾格尔	475623
卢巧音	472923
徐立	464767
雪村	462544
高安	460829
邱永传	460377
蓝奕邦	450896
李进	447226
邓颖芝	441308
WestLife	440882
谭杰希	440125
飞轮海	437854
群星	428943
陆虎	428387
林宇中	423273
吴佩慈	421664
张皓然	420070
小梵	419598
黄家驹	418489
黄绮珊	411055
邓福如	409738
容中尔甲	409090
MIC男团	399084
陈珊妮	396310
陶喆	395770
王艺洁	395238
贾盛强	391133
吴莫愁	389312
罗中旭	389307
含笑	386546
李琛	383564
旭日阳刚	382721
吕方	381087
刘承俊	380563
吕薇	380187
谷祖琳	379889
欧豪	373250
平安	367263
阿佳组合	365498
杨宗纬	363927
郁可唯	362315
罗震环	359534
王绎龙	357279
熊汝霖	354120
降央卓玛	353929
阿木	353312
林志颖	351763
张玮	349504
吴婷	347737
山野	344092
连诗雅	341901
石头	340529
杜磊	339313
石峄	337006
果味VC	334000
三强	333814
曹蕙兰	332957
何西	330857
熊子锐	330146
李炜	329130
MP魔幻力量	329033
曾昱嘉	325492
孙艺心	319681
回音哥	319543
梁文音	317503
A-Lin	316040
李敏镐	315709
玖月奇迹	315633
倪安东	310265
朱哲琴	309174
纯音乐	306891
王野	306879
曹轩宾	306622
金贤重	305599
陈明	305557
金银玲	300515
张翰	299068
星弟	298976
